Part No.,Part Description,Vehicle Identification No.(VIN),Supplier,Defect Code,Defect Description/Reason,Service Cost($),Replacement Cost,Claim Value($),Possible Causes,Responsibility,Possible Causes Source,Claim Source,Claim Source
73397717,Heater Resistance,1HGBK41JXMN112190,PTC manufacture,P0012,"HO2S Heater Resistance (Bank 1, Sensor 1), (Bank 1, Sensor 2), (Bank 1, Sensor 3), and (Bank 2, Sensor 1)",$110.00,$410.00,$300.00,Damaged HO2S heater,Supplier,https://www.fixdapp.com/blog/p0051-code/,https://www.fixdapp.com/blog/p0051-code/,
23392718,Heater Resistance,1HGBK41JXMN113190,PTC manufacture,P0012,"HO2S Heater Resistance (Bank 2, Sensor 2)",$120.00,$500.00,$380.00,VPWR circuit open,OEM,https://www.carparts.com/blog/p0060-code-ho2s-heater-resistance-bank-2-sensor-2/,"https://www.fixdapp.com/blog/how-much-does-an-oxygen-sensor-cost-to-replace/#:~:text=Custom%20Maintenance%20Schedule-,The%20Average%20Cost%20to%20Replace%20an%20Oxygen%20Sensor%20Is%20%24155,maintenance%20may%20also%20be%20needed.
",https://www.yourmechanic.com/article/p0060-obd-ii-trouble-code-ho2s-heater-resistance-bank-2-sensor-2-by-blake-griffin_2
53375717,Heater Resistance,1HGBK41JXMN114190,PTC manufacture,P0012,"HO2S Heater Resistance (Bank 2, Sensor 2)",$120.00,$500.00,$380.00,HO2S heater circuit open,Dealer,https://www.carparts.com/blog/p0060-code-ho2s-heater-resistance-bank-2-sensor-2/,"https://www.fixdapp.com/blog/how-much-does-an-oxygen-sensor-cost-to-replace/#:~:text=Custom%20Maintenance%20Schedule-,The%20Average%20Cost%20to%20Replace%20an%20Oxygen%20Sensor%20Is%20%24155,maintenance%20may%20also%20be%20needed.
",https://www.yourmechanic.com/article/p0060-obd-ii-trouble-code-ho2s-heater-resistance-bank-2-sensor-2-by-blake-griffin_2
73397721,Heater Resistance,1HGBK41JXMN115190,PTC manufacture,P0012,"HO2S Heater Resistance (Bank 2, Sensor 2)",$120.00,$500.00,$380.00,HO2S heater circuit short in the harne,Dealer,https://www.carparts.com/blog/p0060-code-ho2s-heater-resistance-bank-2-sensor-2/,"https://www.fixdapp.com/blog/how-much-does-an-oxygen-sensor-cost-to-replace/#:~:text=Custom%20Maintenance%20Schedule-,The%20Average%20Cost%20to%20Replace%20an%20Oxygen%20Sensor%20Is%20%24155,maintenance%20may%20also%20be%20needed.
",https://www.yourmechanic.com/article/p0060-obd-ii-trouble-code-ho2s-heater-resistance-bank-2-sensor-2-by-blake-griffin_2
23392722,Heater Resistance,1HGBK41JXMN116190,PTC manufacture,P0012,"HO2S Heater Resistance (Bank 2, Sensor 2)",$120.00,$500.00,$380.00,Damaged HO2S heater,OEM,https://www.carparts.com/blog/p0060-code-ho2s-heater-resistance-bank-2-sensor-2/,"
https://www.fixdapp.com/blog/how-much-does-an-oxygen-sensor-cost-to-replace/#:~:text=Custom%20Maintenance%20Schedule-,The%20Average%20Cost%20to%20Replace%20an%20Oxygen%20Sensor%20Is%20%24155,maintenance%20may%20also%20be%20needed.
",https://www.yourmechanic.com/article/p0060-obd-ii-trouble-code-ho2s-heater-resistance-bank-2-sensor-2-by-blake-griffin_2
53375723,Manifold Absolute Pressure,1HGBK41JXMN117190,Pacco Industrial Corporation,P0068,Manifold Absolute Pressure (MAP)/Mass Air Flow (MAF) - Throttle Position Correlation,$90.00,$390.00,$300.00,Air leak between MAF sensor and throttle body,Dealer,https://www.carparts.com/blog/p0068-code-mapmaf-throttle-position-correlation/,https://www.fixdapp.com/blog/p0068-meaning-causes-symptoms-fixes/,
57795724,Manifold Absolute Pressure,1HGBK41JXMN118190,Pacco Industrial Corporation,P0068,Manifold Absolute Pressure (MAP)/Mass Air Flow (MAF) - Throttle Position Correlation,$90.00,$320.00,$230.00,TP sensor not seated properly,Dealer,https://www.carparts.com/blog/p0068-code-mapmaf-throttle-position-correlation/,https://www.fixdapp.com/blog/p0068-meaning-causes-symptoms-fixes/,
73397727,Manifold Absolute Pressure,1HGBK41JXMN119190,Pacco Industrial Corporation,P0068,Manifold Absolute Pressure (MAP)/Mass Air Flow (MAF) - Throttle Position Correlation,$90.00,$320.00,$230.00,Damaged TP sensor,Dealer,https://www.carparts.com/blog/p0068-code-mapmaf-throttle-position-correlation/,https://www.fixdapp.com/blog/p0068-meaning-causes-symptoms-fixes/,
23392726,Manifold Absolute Pressure,1HGBK41JXMN120190,Pacco Industrial Corporation,P0068,Manifold Absolute Pressure (MAP)/Mass Air Flow (MAF) - Throttle Position Correlation,$90.00,$390.00,$300.00,Damaged MAF sensor,Dealer,https://www.carparts.com/blog/p0068-code-mapmaf-throttle-position-correlation/,https://www.fixdapp.com/blog/p0068-meaning-causes-symptoms-fixes/,
53375727,Air System,1HGBK41JXMN121190,PTC manufacture,P0012,Secondary Air Injection System High Airflow (Bank 1),$455.00,"$2,190.00","$1,735.00",Secondary AIR outlet hose leak,Dealer,https://partsavatar.ca/p2448-obd-ii-trouble-code-secondary-air-injection-system-high-air-flow-bank-1-solution,https://repairpal.com/estimator/diesel-injection-pump-replacement-cost,
57795728,Air System,1HGBK41JXMN122190,PTC manufacture,P0012,Secondary Air Injection System High Airflow (Bank 1),$455.00,"$2,190.00","$1,735.00",Secondary AIR outlet hose is disconnected.,Dealer,https://partsavatar.ca/p2448-obd-ii-trouble-code-secondary-air-injection-system-high-air-flow-bank-1-solution,https://repairpal.com/estimator/diesel-injection-pump-replacement-cost,
73397729,Exhaust Manifold,1HGBK41JXMN123190,NTK oxygen sensors,P0128,"O2 Sensor Signal Stuck Rich - Bank 1, Sensor 3",$150.00,"$1,362.00","$1,212.00","Pinched, shorted, and corroded wiring and pins",Dealer,https://partsavatar.ca/p2275-obd-ii-trouble-code-o2-sensor-signal-biased-stuck-rich-bank-1-fuel-pressure-solution,https://www.engine-codes.com/p2275.html,https://repairpal.com/estimator/exhaust-manifold-replacement-cost
23392730,Oxygen Sensor,1HGBK41JXMN124190,NTK oxygen sensors,P0128,"O2 Sensor Signal Stuck Rich - Bank 1, Sensor 3",$94.00,$655.00,$561.00,Crossed HO2S wires,Dealer,https://partsavatar.ca/p2275-obd-ii-trouble-code-o2-sensor-signal-biased-stuck-rich-bank-1-fuel-pressure-solution,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
53375731,Oxygen Sensor,1HGBK44JXMN109190,NTK oxygen sensors,P0128,"O2 Sensor Signal Stuck Rich - Bank 1, Sensor 3",$94.00,$669.00,$575.00,Exhaust leaks,Dealer,https://partsavatar.ca/p2275-obd-ii-trouble-code-o2-sensor-signal-biased-stuck-rich-bank-1-fuel-pressure-solution,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
57795772,Oxygen Sensor,1HGBK44JXMN110190,NTK oxygen sensors,P0128,"O2 Sensor Signal Stuck Rich - Bank 1, Sensor 3",$94.00,$684.00,$590.00,Contaminated or damaged HO2S,OEM,https://partsavatar.ca/p2275-obd-ii-trouble-code-o2-sensor-signal-biased-stuck-rich-bank-1-fuel-pressure-solution,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
73397733,Oxygen Sensor,1HGBK44JXMN111190,NTK oxygen sensors,P0114,"O2 Sensor Signal Stuck Lean - Bank 1, Sensor 3",$94.00,$669.00,$575.00,"Pinched, shorted, and corroded wiring and pins",Dealer,https://www.obd-codes.com/p2274,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
23392734,Oxygen Sensor,1HGBK44JXMN112190,NTK oxygen sensors,P0114,"O2 Sensor Signal Stuck Lean - Bank 1, Sensor 3",$94.00,$655.00,$561.00,Crossed HO2S wires,Dealer,https://www.obd-codes.com/p2274,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
53375735,Oxygen Sensor,1HGBK44JXMN113190,NTK oxygen sensors,P0114,"O2 Sensor Signal Stuck Lean - Bank 1, Sensor 3",$94.00,$390.00,$296.00,Exhaust leaks,Dealer,https://www.obd-codes.com/p2274,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
57795776,Oxygen Sensor,1HGBK44JXMN114190,NTK oxygen sensors,P0114,"O2 Sensor Signal Stuck Lean - Bank 1, Sensor 3",$94.00,$684.00,$590.00,Contaminated or damaged HO2S,Dealer,https://www.obd-codes.com/p2274,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
73397737,Oxygen Sensor,1HGBK44JXMN115190,NTK oxygen sensors,P0068,"O2 Sensor Signal Stuck Rich - Bank 2, Sensor 2",$94.00,$669.00,$575.00,"Pinched, shorted, and corroded wiring and pins",Dealer,"https://www.yourmechanic.com/article/p2273-obd-ii-trouble-code-o2-sensor-signal-stuck-rich-bank-2-sensor-2-by-jamahl-walker#:~:text=P2273%20is%20a%20diagnostic%20trouble,be%20triggered%20in%20your%20situation.",https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
23392738,Oxygen Sensor,1HGBK44JXMN116190,NTK oxygen sensors,P0068,"O2 Sensor Signal Stuck Rich - Bank 2, Sensor 2",$94.00,$655.00,$561.00,Crossed HO2S wires,Dealer,"https://www.yourmechanic.com/article/p2273-obd-ii-trouble-code-o2-sensor-signal-stuck-rich-bank-2-sensor-2-by-jamahl-walker#:~:text=P2273%20is%20a%20diagnostic%20trouble,be%20triggered%20in%20your%20situation.",https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
53375737,Oxygen Sensor,1HGBK44JXMN117190,NTK oxygen sensors,P0068,"O2 Sensor Signal Stuck Rich - Bank 2, Sensor 2",$94.00,$390.00,$296.00,Exhaust leaks,Dealer,"https://www.yourmechanic.com/article/p2273-obd-ii-trouble-code-o2-sensor-signal-stuck-rich-bank-2-sensor-2-by-jamahl-walker#:~:text=P2273%20is%20a%20diagnostic%20trouble,be%20triggered%20in%20your%20situation.",https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
57795740,Oxygen Sensor,1HGBK44JXMN118190,NTK oxygen sensors,P0068,"O2 Sensor Signal Stuck Rich - Bank 2, Sensor 2",$94.00,$684.00,$590.00,Contaminated or damaged HO2S,Dealer,"https://www.yourmechanic.com/article/p2273-obd-ii-trouble-code-o2-sensor-signal-stuck-rich-bank-2-sensor-2-by-jamahl-walker#:~:text=P2273%20is%20a%20diagnostic%20trouble,be%20triggered%20in%20your%20situation.",https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
73397741,Oxygen Sensor,1HGBK44JXMN119190,NTK oxygen sensors,P0012,"O2 Sensor Signal Stuck Lean - Bank 2, Sensor 2",$94.00,$669.00,$575.00,"Pinched, shorted, and corroded wiring and pins",Dealer,https://www.obd-codes.com/p2272,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
23392742,Oxygen Sensor,1HGBK44JXMN120190,NTK oxygen sensors,P0012,"O2 Sensor Signal Stuck Lean - Bank 2, Sensor 2",$94.00,$390.00,$296.00,Crossed HO2S wires,Dealer,https://www.obd-codes.com/p2272,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
53375743,Oxygen Sensor,1HGBK44JXMN121190,NTK oxygen sensors,P0012,"O2 Sensor Signal Stuck Lean - Bank 2, Sensor 2",$94.00,$390.00,$296.00,Exhaust leaks,Dealer,https://www.obd-codes.com/p2272,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
57795744,Oxygen Sensor,1HGBK44JXMN122190,NTK oxygen sensors,P0012,"O2 Sensor Signal Stuck Lean - Bank 2, Sensor 2",$94.00,$684.00,$590.00,Contaminated or damaged HO2S,Dealer,https://www.obd-codes.com/p2272,https://www.bridwellautocenter.com/oxygen-sensor-replacement-costs-2022/,
